,title,price,mileage,year,location
271,Honda Beat Fi Sporty Cw,"Rp 14,800,000",10 - 20K KM,2019,Manggis
272,Honda Vario Cw,"Rp 11,500,000",10 - 30K KM,2014,Papahan
273,YAMAHA XR 1200X BYSON CUSTOM,"Rp 10,000,000",30K+ KM,2015,Tamangapa
274,KAWASAKI NINJA R,"Rp 15,000,000",30K+ KM,2011,Tamangapa
275,HONDA CBR 150 R,"Rp 19,000,000",5 - 10K KM,2015,Tamangapa
276,KAWASAKI NINJA 250 R,"Rp 35,000,000",10 - 30K KM,2012,Tamangapa
277,KAWASAKI NINJA 250 FI,"Rp 37,000,000",10 - 30K KM,2013,Tamangapa
278,HONDA VARIO 150 ESP EXCLUSIVE,"Rp 18,500,000",30K+ KM,2016,Keude Krueng Geukueh
279,HONDA BEAT CW,"Rp 15,500,000",30K+ KM,2018,Keude Krueng Geukueh
280,HONDA VARIO STD,"Rp 11,900,000",30K+ KM,2016,Simpang Tiga
281,YAMAHA AEROX 155 VVA-S,"Rp 24,600,000",30K+ KM,2019,Kalidoni
282,YAMAHA FREEGO S,"Rp 19,500,000",30K+ KM,2019,Kalidoni
283,YAMAHA ALL NEW VIXION R,"Rp 19,400,000",30K+ KM,2015,Kalidoni
284,YAMAHA JUPITER MX,"Rp 15,300,000",30K+ KM,2019,Simpang Tiga
285,HONDA NEW REVO CW,"Rp 11,300,000",30K+ KM,2019,Simpang Tiga
286,HONDA BEAT FI POP CW,"Rp 10,500,000",30K+ KM,2015,Sesetan
287,HONDA BEAT,"Rp 8,500,000",30K+ KM,2012,Sesetan
288,HONDA BEAT,"Rp 12,000,000",30K+ KM,2016,Sesetan
289,HONDA BEAT,"Rp 13,500,000",30K+ KM,2017,Sesetan
290,HONDA NEW VARIO CW FI,"Rp 12,000,000",30K+ KM,2015,Sesetan
291,HONDA NEW VARIO TECHNO,"Rp 15,000,000",30K+ KM,2015,Sesetan
292,HONDA BEAT CW,"Rp 8,000,000",30K+ KM,2011,Sesetan
293,HONDA NEW VARIO CW FI,"Rp 12,000,000",30K+ KM,2015,Sesetan
294,HONDA NEW VARIO CW FI,"Rp 12,000,000",30K+ KM,2015,Sesetan
295,HONDA NEW VARIO TECHNO,"Rp 11,500,000",30K+ KM,2013,Sesetan
296,HONDA BEAT,"Rp 11,800,000",30K+ KM,2015,Sesetan
297,HONDA BEAT,"Rp 9,700,000",30K+ KM,2013,Sesetan
298,YAMAHA FINO SPORTY ,"Rp 9,000,000",30K+ KM,2014,Sesetan
299,YAMAHA FINO FI PREMIUM,"Rp 11,000,000",30K+ KM,2016,Tigaraksa
300,YAMAHA MIO M3 125,"Rp 12,000,000",30K+ KM,2018,Tigaraksa
301,HONDA SCOOPY ESP,"Rp 17,500,000",30K+ KM,2018,Tigaraksa
302,HONDA SCOOPY ESP,"Rp 16,500,000",30K+ KM,2017,Tigaraksa
303,YAMAHA VIXION,"Rp 14,800,000",30K+ KM,2013,Banguntapan
304,HONDA BEAT FI POP CBS ESP,"Rp 11,000,000",30K+ KM,2016,Tigaraksa
305,YAMAHA VIXION,"Rp 10,500,000",30K+ KM,2010,Banguntapan
